game_id,team,opp,off_line,def_pair_opp,goalie_opp,toi,xg_for,goals_for,is_home
game_1,thailand,pakistan,PP_kill_dwn,PP_up,player_id_106,628.8,0.1754,0,1
game_1,thailand,pakistan,second_off,second_def,player_id_106,197.61,0.0,0,1
game_1,thailand,pakistan,first_off,second_def,player_id_106,47.06,0.0,0,1
game_1,thailand,pakistan,second_off,first_def,player_id_106,44.6,0.1211,0,1
game_1,thailand,pakistan,second_off,second_def,player_id_106,274.65,0.1207,0,1
game_1,thailand,pakistan,empty_net_line,first_def,player_id_106,4.05,0.0,0,1
game_1,thailand,pakistan,first_off,first_def,player_id_106,170.49,0.0,0,1
game_1,thailand,pakistan,empty_net_line,first_def,player_id_106,20.2,0.0,0,1
game_1,thailand,pakistan,first_off,second_def,player_id_106,117.12,0.1104,0,1
game_1,thailand,pakistan,second_off,first_def,player_id_106,122.35,0.1187,0,1
game_1,thailand,pakistan,second_off,second_def,player_id_106,173.66,0.123,0,1
game_1,thailand,pakistan,second_off,first_def,player_id_106,164.62,0.0,0,1
game_1,thailand,pakistan,PP_up,PP_kill_dwn,player_id_106,571.2,1.2396,0,1
game_1,thailand,pakistan,first_off,second_def,player_id_106,64.38,0.0,0,1
game_1,thailand,pakistan,first_off,first_def,player_id_106,225.42,0.1061,0,1
game_1,thailand,pakistan,first_off,first_def,player_id_106,127.52,0.2291,1,1
game_1,thailand,pakistan,empty_net_line,second_def,player_id_106,53.6,0.3706,0,1
game_1,thailand,pakistan,first_off,first_def,player_id_106,203.4,0.1084,0,1
game_1,thailand,pakistan,second_off,second_def,player_id_106,104.14,0.0,0,1
game_1,thailand,pakistan,first_off,second_def,player_id_106,114.8,0.0,0,1
game_1,thailand,pakistan,empty_net_line,second_def,player_id_106,55.5,0.0,0,1
game_1,thailand,pakistan,second_off,first_def,player_id_106,114.82,0.0,0,1
game_10,switzerland,kazakhstan,second_off,first_def,player_id_192,217.32,0.1275,0,1
game_10,switzerland,kazakhstan,second_off,first_def,player_id_192,41.22,0.0,0,1
game_10,switzerland,kazakhstan,first_off,second_def,player_id_192,188.36,0.0973,0,1
game_10,switzerland,kazakhstan,first_off,first_def,player_id_192,196.04,0.1174,0,1
game_10,switzerland,kazakhstan,first_off,first_def,player_id_192,60.72,0.0,0,1
